Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink16:51:44.174000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
16:53:42.048000 Conn: 0000 Handle: 0002  Values: be00000000000000000000000000000000001700
16:53:42.399000 Conn: 0001 Handle: 0002  Values: be00000000000000000000000000000000001700
16:53:43.039000 Conn: 0000 Handle: 0001  Values: c200000000000000000000000000000000007200
16:53:43.401000 Conn: 0001 Handle: 0001  Values: c100000000000000000000000000000000007100
16:53:44.047000 Conn: 0000 Handle: 0003  Values: c200000000000000000000000000000000003900
16:53:44.394000 Conn: 0001 Handle: 0003  Values: c100000000000000000000000000000000003900
16:53:45.046000 Conn: 0000 Handle: 0005  Values: c400000000000000000000000000000000000a00
16:53:45.397000 Conn: 0001 Handle: 0001  Values: c400000000000000000000000000000000007300
16:53:46.050000 Conn: 0000 Handle: 0001  Values: c400000000000000000000000000000000007300
16:53:46.399000 Conn: 0001 Handle: 0003  Values: c400000000000000000000000000000000003a00
16:53:46.588000  SCAN CMD
16:53:47.042000 Conn: 0000 Handle: 0001  Values: c800000000000000000000000000000000007500
16:53:47.398000 Conn: 0001 Handle: 0001  Values: c800000000000000000000000000000000007500
16:53:48.047000 Conn: 0000 Handle: 0002  Values: c800000000000000000000000000000000001800
16:53:48.402000 Conn: 0001 Handle: 0002  Values: c800000000000000000000000000000000001800
16:53:49.049000 Conn: 0000 Handle: 0001  Values: cb00000000000000000000000000000000007700
16:53:49.399000 Conn: 0001 Handle: 0001  Values: cb00000000000000000000000000000000007700
16:53:50.042000 Conn: 0000 Handle: 0003  Values: cb00000000000000000000000000000000003c00
16:53:50.403000 Conn: 0001 Handle: 0003  Values: cb00000000000000000000000000000000003c00
16:53:51.048000 Conn: 0000 Handle: 0001  Values: cf00000000000000000000000000000000007900
16:53:51.400000 Conn: 0001 Handle: 0001  Values: cf00000000000000000000000000000000007900
16:53:52.042000 Conn: 0000 Handle: 0002  Values: cf00000000000000000000000000000000001900
16:53:52.400000 Conn: 0001 Handle: 0002  Values: cf00000000000000000000000000000000001900
16:53:53.042000 Conn: 0000 Handle: 0001  Values: d300000000000000000000000000000000007c00
16:53:53.397000 Conn: 0001 Handle: 0001  Values: d200000000000000000000000000000000007b00
16:53:54.044000 Conn: 0000 Handle: 0003  Values: d300000000000000000000000000000000003e00
16:53:54.402000 Conn: 0001 Handle: 0003  Values: d200000000000000000000000000000000003e00
16:53:55.049000 Conn: 0000 Handle: 0005  Values: d500000000000000000000000000000000000a00
16:53:55.404000 Conn: 0001 Handle: 0001  Values: d500000000000000000000000000000000007d00
16:53:56.046000 Conn: 0000 Handle: 0001  Values: d500000000000000000000000000000000007d00
16:53:56.397000 Conn: 0001 Handle: 0003  Values: d500000000000000000000000000000000003f00
16:53:56.612000  SCAN CMD
16:53:57.045000 Conn: 0000 Handle: 0001  Values: d900000000000000000000000000000000007f00
16:53:57.396000 Conn: 0001 Handle: 0001  Values: d900000000000000000000000000000000007f00
