Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink17:03:23.560000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
17:04:09.132000 Conn: 0000 Handle: 0001  Values: 4400000000000000000000000000000000002800
17:04:09.842000 Conn: 0001 Handle: 0003  Values: 4400000000000000000000000000000000001400
17:04:10.134000 Conn: 0000 Handle: 0003  Values: 4400000000000000000000000000000000001400
17:04:10.842000 Conn: 0001 Handle: 0001  Values: 4800000000000000000000000000000000002a00
17:04:11.132000 Conn: 0000 Handle: 0001  Values: 4800000000000000000000000000000000002a00
17:04:11.840000 Conn: 0001 Handle: 0002  Values: 4800000000000000000000000000000000000900
17:04:12.138000 Conn: 0000 Handle: 0002  Values: 4800000000000000000000000000000000000900
17:04:12.837000 Conn: 0001 Handle: 0001  Values: 4b00000000000000000000000000000000002c00
17:04:13.133000 Conn: 0000 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
17:04:13.838000 Conn: 0001 Handle: 0003  Values: 4b00000000000000000000000000000000001600
17:04:14.132000 Conn: 0000 Handle: 0003  Values: 4d00000000000000000000000000000000001700
17:04:14.843000 Conn: 0001 Handle: 0001  Values: 4f00000000000000000000000000000000002e00
17:04:15.135000 Conn: 0000 Handle: 0005  Values: 4f00000000000000000000000000000000000a00
17:04:15.794000  SCAN CMD
 17:04:15.842000 Conn: 0001 Handle: 0002  Values: 4f00000000000000000000000000000000000a00
17:04:16.141000 Conn: 0000 Handle: 0001  Values: 4f00000000000000000000000000000000002e00
17:04:16.837000 Conn: 0001 Handle: 0001  Values: 5200000000000000000000000000000000003000
17:04:17.141000 Conn: 0000 Handle: 0001  Values: 5200000000000000000000000000000000003000
17:04:17.845000 Conn: 0001 Handle: 0003  Values: 5200000000000000000000000000000000001800
17:04:18.138000 Conn: 0000 Handle: 0003  Values: 5200000000000000000000000000000000001800
17:04:18.845000 Conn: 0001 Handle: 0001  Values: 5500000000000000000000000000000000003200
17:04:19.141000 Conn: 0000 Handle: 0001  Values: 5500000000000000000000000000000000003200
17:04:19.843000 Conn: 0001 Handle: 0003  Values: 5500000000000000000000000000000000001900
17:04:20.138000 Conn: 0000 Handle: 0003  Values: 5500000000000000000000000000000000001900
17:04:20.845000 Conn: 0001 Handle: 0001  Values: 5900000000000000000000000000000000003400
