Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:47:39.734000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:48:02.862000 Conn: 0000 Handle: 0003  Values: 2800000000000000000000000000000000000c00
19:48:02.963000 Conn: 0001 Handle: 0003  Values: 2800000000000000000000000000000000000c00
19:48:03.158000 Conn: 0000 Handle: 0001  Values: 2900000000000000000000000000000000001800
19:48:03.262000 Conn: 0001 Handle: 0001  Values: 2900000000000000000000000000000000001800
19:48:03.330000  SCAN CMD
19:48:04.059000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:04.665000 Conn: 0000 Handle: 0001  Values: 2b00000000000000000000000000000000001900
19:48:04.764000 Conn: 0001 Handle: 0001  Values: 2b00000000000000000000000000000000001900
19:48:04.962000 Conn: 0000 Handle: 0003  Values: 2b00000000000000000000000000000000000d00
19:48:05.067000 Conn: 0001 Handle: 0003  Values: 2b00000000000000000000000000000000000d00
19:48:05.257000 Conn: 0000 Handle: 0001  Values: 2d00000000000000000000000000000000001a00
19:48:05.368000 Conn: 0001 Handle: 0001  Values: 2d00000000000000000000000000000000001a00
19:48:05.565000 Conn: 0000 Handle: 0002  Values: 2d00000000000000000000000000000000000600
19:48:05.664000 Conn: 0001 Handle: 0002  Values: 2d00000000000000000000000000000000000600
19:48:06.459000 Conn: 0000 Handle: 0001  Values: 2f00000000000000000000000000000000001b00
19:48:06.562000 Conn: 0001 Handle: 0001  Values: 2f00000000000000000000000000000000001b00
19:48:06.646000  SCAN CMD
19:48:06.760000 Conn: 0000 Handle: 0003  Values: 2f00000000000000000000000000000000000e00
19:48:06.863000 Conn: 0001 Handle: 0003  Values: 2f00000000000000000000000000000000000e00
19:48:07.363000 Conn: 0000 Handle: 0001  Values: 3000000000000000000000000000000000001c00
19:48:07.663000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:08.369000 Conn: 0001 Handle: 0001  Values: 3000000000000000000000000000000000001c00
19:48:08.559000 Conn: 0000 Handle: 0001  Values: 3200000000000000000000000000000000001d00
19:48:08.661000 Conn: 0001 Handle: 0001  Values: 3200000000000000000000000000000000001d00
19:48:08.864000 Conn: 0000 Handle: 0003  Values: 3200000000000000000000000000000000000f00
19:48:08.970000 Conn: 0001 Handle: 0003  Values: 3200000000000000000000000000000000000f00
19:48:09.264000 Conn: 0001 Handle: 0001  Values: 3300000000000000000000000000000000001e00
19:48:09.757000 Conn: 0000 Handle: 0001  Values: 3300000000000000000000000000000000001e00
19:48:09.912000  SCAN CMD
19:48:10.461000 Conn: 0001 Handle: 0001  Values: 3600000000000000000000000000000000001f00
19:48:10.658000 Conn: 0000 Handle: 0001  Values: 3600000000000000000000000000000000001f00
19:48:10.771000 Conn: 0001 Handle: 0002  Values: 3600000000000000000000000000000000000700
19:48:10.963000 Conn: 0000 Handle: 0002  Values: 3600000000000000000000000000000000000700
19:48:11.071000 Conn: 0001 Handle: 0003  Values: 3600000000000000000000000000000000001000
19:48:11.260000 Conn: 0000 Handle: 0003  Values: 3600000000000000000000000000000000001000
19:48:11.367000 Conn: 0001 Handle: 0001  Values: 3700000000000000000000000000000000002000
19:48:11.560000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:11.863000 Conn: 0000 Handle: 0001  Values: 3700000000000000000000000000000000002000
19:48:12.458000 Conn: 0000 Handle: 0001  Values: 3900000000000000000000000000000000002100
19:48:12.573000 Conn: 0001 Handle: 0001  Values: 3900000000000000000000000000000000002100
19:48:12.763000 Conn: 0000 Handle: 0003  Values: 3900000000000000000000000000000000001100
19:48:12.870000 Conn: 0001 Handle: 0003  Values: 3900000000000000000000000000000000001100
19:48:13.182000  SCAN CMD
19:48:13.766000 Conn: 0001 Handle: 0001  Values: 3a00000000000000000000000000000000002200
19:48:14.261000 Conn: 0000 Handle: 0001  Values: 3a00000000000000000000000000000000002200
19:48:14.563000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:14.664000 Conn: 0001 Handle: 0001  Values: 3c00000000000000000000000000000000002300
19:48:14.857000 Conn: 0000 Handle: 0001  Values: 3c00000000000000000000000000000000002300
19:48:14.969000 Conn: 0001 Handle: 0003  Values: 3c00000000000000000000000000000000001200
19:48:15.162000 Conn: 0000 Handle: 0003  Values: 3c00000000000000000000000000000000001200
19:48:15.268000 Conn: 0001 Handle: 0001  Values: 3e00000000000000000000000000000000002400
19:48:15.463000 Conn: 0000 Handle: 0002  Values: 3d00000000000000000000000000000000000800
19:48:15.569000 Conn: 0001 Handle: 0002  Values: 3e00000000000000000000000000000000000800
19:48:15.760000 Conn: 0000 Handle: 0001  Values: 3e00000000000000000000000000000000002400
19:48:16.362000 Conn: 0000 Handle: 0001  Values: 4000000000000000000000000000000000002500
19:48:16.46900019:48:16.473000  Conn: SCAN CMD 
0001 Handle: 0001  Values: 4000000000000000000000000000000000002500
19:48:16.746000 Conn: 0000 Handle: 0003  Values: 4000000000000000000000000000000000001300
19:48:16.777000 Conn: 0001 Handle: 0003  Values: 4000000000000000000000000000000000001300
19:48:17.258000 Conn: 0000 Handle: 0001  Values: 4100000000000000000000000000000000002600
